食品群,食品番号,索引番号,食品名　100gあたり栄養素,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,食塩相当量 g
11,11082,1721,＜畜肉類＞　うし　［輸入牛肉］　ランプ　脂身つき　生,214,18.4,16.4,0.4,0.1
11,11083,1722,＜畜肉類＞　うし　［輸入牛肉］　ランプ　皮下脂肪なし　生,174,19.7,11.1,0.5,0.1
11,11084,1723,＜畜肉類＞　うし　［輸入牛肉］　ランプ　赤肉　生,112,21.6,3.0,0.5,0.1
11,11085,1724,＜畜肉類＞　うし　［輸入牛肉］　ヒレ　赤肉　生,123,20.5,4.8,0.3,0.1
11,11086,1725,＜畜肉類＞　うし　［子牛肉］　リブロース　皮下脂肪なし　生,94,21.7,0.9,0.3,0.2
11,11087,1726,＜畜肉類＞　うし　［子牛肉］　ばら　皮下脂肪なし　生,113,20.9,3.6,0,0.3
11,11088,1727,＜畜肉類＞　うし　［子牛肉］　もも　皮下脂肪なし　生,107,21.2,2.7,0.2,0.1
11,11089,1728,＜畜肉類＞　うし　［ひき肉］　生,251,17.1,21.1,0.3,0.2
11,11272,1729,＜畜肉類＞　うし　［ひき肉］　焼き,280,25.9,21.3,0.4,0.2
11,11090,1730,＜畜肉類＞　うし　［副生物］　舌　生,318,13.3,31.8,0.2,0.2
11,11273,1731,＜畜肉類＞　うし　［副生物］　舌　焼き,401,20.2,37.1,0.2,0.2
11,11091,1732,＜畜肉類＞　うし　［副生物］　心臓　生,128,16.5,7.6,0.1,0.2
11,11092,1733,＜畜肉類＞　うし　［副生物］　肝臓　生,119,19.6,3.7,3.7,0.1
11,11093,1734,＜畜肉類＞　うし　［副生物］　じん臓　生,118,16.7,6.4,0.2,0.2
11,11094,1735,＜畜肉類＞　うし　［副生物］　第一胃　ゆで,166,24.5,8.4,0,0.1
11,11095,1736,＜畜肉類＞　うし　［副生物］　第二胃　ゆで,186,12.4,15.7,0,0.1
11,11096,1737,＜畜肉類＞　うし　［副生物］　第三胃　生,57,11.7,1.3,0,0.1
11,11097,1738,＜畜肉類＞　うし　［副生物］　第四胃　ゆで,308,11.1,30.0,0,0.1
11,11098,1739,＜畜肉類＞　うし　［副生物］　小腸　生,268,9.9,26.1,0,0.2
11,11099,1740,＜畜肉類＞　うし　［副生物］　大腸　生,150,9.3,13.0,0,0.2
11,11100,1741,＜畜肉類＞　うし　［副生物］　直腸　生,106,11.6,7.0,0,0.2
11,11101,1742,＜畜肉類＞　うし　［副生物］　腱　ゆで,157,31.0 ,5.1,0,0.2
11,11102,1743,＜畜肉類＞　うし　［副生物］　子宮　ゆで,95,18.4,3.0,0,0.2
11,11103,1744,＜畜肉類＞　うし　［副生物］　尾　生,440,11.6,47.1,0,0.1
11,11274,1745,＜畜肉類＞　うし　［副生物］　横隔膜　生,288,14.8,27.3,0.3,0.1
11,11296,1746,＜畜肉類＞　うし　［副生物］　横隔膜　ゆで,414,21.3,36.7,0.2,0.1
11,11297,1747,＜畜肉類＞　うし　［副生物］　横隔膜　焼き,401,21.1,37.2,0.3,0.1
11,11104,1748,＜畜肉類＞　うし　［加工品］　ローストビーフ,190,21.7,11.7,0.9,0.8
11,11105,1749,＜畜肉類＞　うし　［加工品］　コンビーフ缶詰,191,19.8,13.0,1.7,1.8
11,11106,1750,＜畜肉類＞　うし　［加工品］　味付け缶詰,156,19.2,4.4,9.9,1.8
11,11107,1751,＜畜肉類＞　うし　［加工品］　ビーフジャーキー,304,54.8,7.8,6.4,4.8
11,11108,1752,＜畜肉類＞　うし　［加工品］　スモークタン,273,18.1,23.0,0.9,1.6
11,11109,1753,＜畜肉類＞　うま　肉　赤肉　生,102,20.1,2.5,0.3,0.1
11,11110,1754,＜畜肉類＞　くじら　肉　赤肉　生,100,24.1,0.4,0.2,0.2
11,11111,1755,＜畜肉類＞　くじら　うねす　生,328,18.8,31.4,0.2,0.4
11,11112,1756,＜畜肉類＞　くじら　本皮　生,577,9.7,68.8,0.2,0.1
11,11113,1757,＜畜肉類＞　くじら　さらしくじら,28,5.3,0.9,0,0
11,11114,1758,＜畜肉類＞　しか　あかしか　赤肉　生,102,22.3,1.5,0.5,0.1
11,11275,1759,＜畜肉類＞　しか　にほんじか　赤肉　生,119,23.9,4.0,0.3,0.1
11,11294,1760,＜畜肉類＞　しか　にほんじか　えぞしか　赤肉　生,126,22.6,5.2,0.6,0.1
11,11295,1761,＜畜肉類＞　しか　にほんじか　きゅうしゅうじか　赤肉　生,107,22.6,2.5,0.1,0.1
11,11311,1761-1,＜畜肉類＞　しか　にほんじか　ほんしゅうじか　赤肉　生,90,21.4,1.0 ,0.1,0.2
11,11115,1762,＜畜肉類＞　ぶた　［大型種肉］　かた　脂身つき　生,201,18.5,14.6,0.2,0.1
11,11116,1763,＜畜肉類＞　ぶた　［大型種肉］　かた　皮下脂肪なし　生,158,19.7,9.3,0.2,0.1
11,11117,1764,＜畜肉類＞　ぶた　［大型種肉］　かた　赤肉　生,114,20.9,3.8,0.2,0.1
11,11118,1765,＜畜肉類＞　ぶた　［大型種肉］　かた　脂身　生,663,5.3,72.4,0,0.1
11,11119,1766,＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身つき　生,237,17.1,19.2,0.1,0.1
11,11120,1767,＜畜肉類＞　ぶた　［大型種肉］　かたロース　皮下脂肪なし　生,212,17.8,16.0,0.1,0.1
11,11121,1768,＜畜肉類＞　ぶた　［大型種肉］　かたロース　赤肉　生,146,19.7,7.8,0.1,0.2
11,11122,1769,＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身　生,644,5.4,70.7,0,0.1
11,11123,1770,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生,248,19.3,19.2,0.2,0.1
11,11125,1771,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　ゆで,299,23.9,24.1,0.3,0.1
11,11124,1772,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　焼き,310,26.7,22.7,0.3,0.1
